pi,p,b,r
-0.10459183673469388,0.02040816326530612,0.125,-0.9591836734693877
-0.1268939393939394,0.06060606060606061,0.1875,-0.8787878787878788
-0.20909090909090908,0.09090909090909091,0.3,-0.8181818181818181
0.0,0.2,0.2,-0.6
-0.9642857142857143,0.03571428571428571,1.0,-0.9285714285714286
-0.3792270531400966,0.06521739130434782,0.4444444444444444,-0.8695652173913043
-0.2251082251082251,0.06060606060606061,0.2857142857142857,-0.8787878787878788
-0.0111111111111111,0.1,0.1111111111111111,-0.8
-0.9487179487179487,0.05128205128205128,1.0,-0.8974358974358975
-0.3285714285714285,0.1,0.42857142857142855,-0.8
-0.3820598006644518,0.046511627906976744,0.42857142857142855,-0.9069767441860466
-0.5,0.0,0.5,-1.0
-0.4733893557422969,0.09803921568627451,0.5714285714285714,-0.803921568627451
-0.5238095238095237,0.14285714285714285,0.6666666666666666,-0.7142857142857143
-0.10784313725490195,0.058823529411764705,0.16666666666666666,-0.8823529411764706
-0.4040404040404041,0.15151515151515152,0.5555555555555556,-0.696969696969697
-0.475,0.125,0.6,-0.75
-0.33333333333333337,0.16666666666666666,0.5,-0.6666666666666667
